id,customer_id,product_id,start_date,end_date,amount_invested,active
203873,362002,106150,2023-03-01,,62464.55,False
209149,375749,107233,2023-08-23,2023-10-22,18982.64,False
223853,359894,110346,2022-05-07,2023-08-04,6469.66,False
251860,355830,168263,2024-06-27,2024-06-27,25959.61,False
218032,369979,162522,2022-03-03,2024-04-14,12249.34,True
229044,394606,166885,2022-04-08,,96086.65,True
284755,366148,117510,2023-12-22,2023-12-26,65622.52,True
223738,326700,106453,2023-08-28,2024-04-19,96562.34,False
286760,318673,180467,2020-07-17,2023-05-21,84853.75,True
296834,336298,171468,2023-04-16,2023-12-07,24059.34,True
281259,346208,144496,2024-05-24,2024-06-27,55672.46,True
215148,340222,192958,2021-10-16,,82185.82,False
204108,311102,114526,2022-09-16,2023-07-22,50878.67,True
270677,343940,198735,2022-12-29,2023-02-26,59862.38,True
293903,354034,123085,2020-06-19,,99151.51,True
283509,390354,131093,2021-09-12,2021-09-20,20266.19,True
230136,366330,102040,2021-10-07,2023-07-25,81522.42,True
240713,376752,188954,2023-10-05,2023-11-03,56603.37,False
280596,370496,112096,2020-05-16,,21095.28,True
217334,355220,160133,2020-03-29,,55962.15,False
267425,332820,162263,2020-02-05,2022-10-05,88420.97,False
232128,374088,181047,2024-01-17,2024-05-25,5173.22,True
271398,340312,136448,2020-11-22,2022-05-28,18349.29,True
236939,314616,109858,2022-10-07,,90691.23,False
212821,320218,148178,2023-01-08,,51093.96,False
249752,398532,132164,2024-02-08,,56994.6,True
202046,337673,164764,2023-08-30,2024-05-11,71109.93,False
276191,300515,185228,2020-06-05,,20104.13,True
238854,397404,118944,2023-12-30,2023-12-30,97332.0,False
273594,366109,140915,2020-12-19,2021-09-30,88016.42,False
256376,381211,116144,2022-10-06,2022-12-14,5167.02,False
294767,343934,116383,2021-12-04,,81204.62,False
268737,324716,186090,2021-03-01,,29446.3,False
297134,339858,174738,2022-08-06,,64969.5,True
229268,377603,185481,2020-02-08,2021-04-03,62811.08,False
210157,326677,125070,2020-08-19,,78863.76,False
203933,364040,108109,2020-05-25,,12556.53,False
228073,315650,121584,2024-01-29,,29823.81,True
239997,353334,145936,2022-12-09,,74848.4,False
232583,340971,145629,2024-06-05,2024-06-26,81993.55,True
285896,380894,192250,2021-02-01,2022-06-21,76699.1,False
275604,348646,111629,2022-12-16,,50193.52,True
230789,306867,181237,2022-10-25,2023-08-12,73459.55,True
270872,333027,131038,2023-01-22,2024-03-02,52032.67,True
215846,345822,146701,2022-03-22,,17839.46,True
238934,332709,160344,2021-09-07,2022-04-27,34060.63,True
276137,392989,140024,2021-09-20,,74160.29,True
225712,333756,100113,2023-02-23,2024-05-10,76434.22,False
288256,342030,170522,2023-09-09,,19915.61,False
217122,373333,192653,2022-02-11,,47498.76,True
225484,396984,149451,2023-11-01,,21782.08,False
211409,381645,148072,2020-12-11,2022-07-01,35861.99,False
258438,328882,104774,2023-04-21,2024-02-04,25470.38,False
238732,341840,153787,2022-05-31,2024-03-15,57958.68,True
290190,360686,157140,2022-02-22,2024-03-28,60821.46,True
291275,347860,150233,2024-03-04,2024-05-18,45578.61,False
261998,304603,162888,2021-02-17,,66528.04,False
259280,355861,141580,2021-05-19,2022-05-25,16756.55,True
237710,384018,124826,2021-04-01,2021-06-18,69823.01,True
252890,391118,131798,2024-01-05,2024-05-31,67480.04,True
234534,398200,121549,2020-08-01,2022-05-16,67144.53,False
204664,310269,107856,2020-12-21,,9215.75,False
215974,395834,153004,2021-03-16,2023-01-13,29764.95,True
218542,380979,172172,2022-07-11,,62161.96,False
236189,351875,174772,2023-03-11,2023-06-20,44094.71,True
